,resultId,grid,positionOrder,fastestLap,fastestLapTime,fastestLapSpeed,surname,status,year,name_x,name_y
1575,23544,4,3,69.0,01:07.4,230.491,Ricciardo,Finished,2017,Austrian Grand Prix,Red Bull
1576,23566,19,5,47.0,01:31.9,230.833,Ricciardo,Finished,2017,British Grand Prix,Red Bull
1577,23565,4,4,51.0,01:30.7,233.878,Verstappen,Finished,2017,British Grand Prix,Red Bull
1578,23586,5,5,44.0,01:20.5,195.944,Verstappen,Finished,2017,Hungarian Grand Prix,Red Bull
1579,23604,6,3,44.0,01:47.5,234.445,Ricciardo,Finished,2017,Belgian Grand Prix,Red Bull
1580,23625,16,4,49.0,01:23.4,250.174,Ricciardo,Finished,2017,Italian Grand Prix,Red Bull
1581,23643,3,2,57.0,01:45.3,173.16,Ricciardo,Finished,2017,Singapore Grand Prix,Red Bull
1582,23664,4,3,55.0,01:34.8,210.56,Ricciardo,Finished,2017,Malaysian Grand Prix,Red Bull
1583,23662,3,1,50.0,01:34.5,211.235,Verstappen,Finished,2017,Malaysian Grand Prix,Red Bull
1584,23684,3,3,52.0,01:33.7,223.122,Ricciardo,Finished,2017,Japanese Grand Prix,Red Bull
1585,23683,4,2,51.0,01:33.7,223.036,Verstappen,Finished,2017,Japanese Grand Prix,Red Bull
1586,23705,16,4,39.0,01:38.1,202.394,Verstappen,Finished,2017,United States Grand Prix,Red Bull
1587,23747,14,6,71.0,01:12.0,215.363,Ricciardo,Finished,2017,Brazilian Grand Prix,Red Bull
1588,23746,4,5,64.0,01:11.0,218.349,Verstappen,Finished,2017,Brazilian Grand Prix,Red Bull
1589,23766,6,5,43.0,01:42.0,195.969,Verstappen,Finished,2017,Abu Dhabi Grand Prix,Red Bull
1590,51,11,7,51.0,01:34.3,206.597,Webber,Finished,2008,Bahrain Grand Prix,Red Bull
1591,140,10,12,51.0,01:18.2,200.759,Webber,Finished,2008,Canadian Grand Prix,Red Bull
1592,131,13,3,36.0,01:18.1,201.057,Coulthard,Finished,2008,Canadian Grand Prix,Red Bull
1593,569,6,3,29.0,01:34.4,196.22,Webber,Finished,2007,European Grand Prix,Red Bull
1594,571,20,5,48.0,01:34.3,196.496,Coulthard,Finished,2007,European Grand Prix,Red Bull
1595,708,7,10,55.0,01:39.4,197.478,Webber,Finished,2007,Chinese Grand Prix,Red Bull
1596,706,5,8,55.0,01:39.6,196.945,Coulthard,Finished,2007,Chinese Grand Prix,Red Bull
1597,794,11,8,32.0,01:28.3,216.326,Coulthard,Finished,2006,Australian Grand Prix,Red Bull
1598,1081,12,9,52.0,01:40.5,195.164,Coulthard,Finished,2006,Chinese Grand Prix,Red Bull
1599,1164,8,6,18.0,01:36.8,206.165,Coulthard,Finished,2005,Malaysian Grand Prix,Red Bull
1600,1166,7,8,17.0,01:36.9,205.927,Klien,Finished,2005,Malaysian Grand Prix,Red Bull
1601,1206,15,8,46.0,01:23.5,212.71,Liuzzi,Finished,2005,San Marino Grand Prix,Red Bull
1602,1258,12,4,19.0,01:31.3,202.974,Coulthard,Finished,2005,European Grand Prix,Red Bull
1603,1263,14,9,43.0,01:32.0,201.506,Liuzzi,Finished,2005,European Grand Prix,Red Bull
1604,7636,5,3,18.0,01:23.1,201.631,Webber,Finished,2009,Spanish Grand Prix,Red Bull
1605,7637,2,4,41.0,01:23.1,201.684,Vettel,Finished,2009,Spanish Grand Prix,Red Bull
1606,7714,1,1,37.0,01:34.0,197.151,Webber,Finished,2009,German Grand Prix,Red Bull
1607,7715,4,2,42.0,01:34.1,196.97,Vettel,Finished,2009,German Grand Prix,Red Bull
1608,7782,9,9,39.0,01:47.8,233.936,Webber,Finished,2009,Belgian Grand Prix,Red Bull
1609,7776,8,3,38.0,01:47.3,235.07,Vettel,Finished,2009,Belgian Grand Prix,Red Bull
1610,7801,9,8,50.0,01:25.2,244.791,Vettel,Finished,2009,Italian Grand Prix,Red Bull
1611,16068,3,2,14.0,01:40.6,198.808,Webber,Finished,2009,Abu Dhabi Grand Prix,Red Bull
1612,16067,2,1,54.0,01:40.3,199.387,Vettel,Finished,2009,Abu Dhabi Grand Prix,Red Bull
1613,752,13,10,26.0,01:33.4,208.653,Coulthard,Finished,2006,Bahrain Grand Prix,Red Bull
1614,750,8,8,40.0,01:33.2,209.02,Klien,Finished,2006,Bahrain Grand Prix,Red Bull
1615,7658,8,5,45.0,01:15.3,159.636,Webber,Finished,2009,Monaco Grand Prix,Red Bull
1616,7695,3,2,57.0,01:20.9,228.728,Webber,Finished,2009,British Grand Prix,Red Bull
1617,7694,1,1,16.0,01:20.7,229.238,Vettel,Finished,2009,British Grand Prix,Red Bull
1618,20640,4,6,52.0,01:24.3,247.452,Webber,Finished,2010,Italian Grand Prix,Red Bull
1619,20638,6,4,50.0,01:24.5,246.822,Vettel,Finished,2010,Italian Grand Prix,Red Bull
1620,20661,5,3,54.0,01:49.7,166.47,Webber,Finished,2010,Singapore Grand Prix,Red Bull
1621,20660,2,2,59.0,01:48.1,168.879,Vettel,Finished,2010,Singapore Grand Prix,Red Bull
1622,20922,4,3,65.0,01:19.6,197.3,Webber,Finished,2011,Canadian Grand Prix,Red Bull
1623,20921,1,2,69.0,01:17.2,203.317,Vettel,Finished,2011,Canadian Grand Prix,Red Bull
1624,21041,3,2,33.0,01:49.9,229.465,Webber,Finished,2011,Belgian Grand Prix,Red Bull
1625,21040,1,1,36.0,01:50.5,228.285,Vettel,Finished,2011,Belgian Grand Prix,Red Bull
1626,21403,19,4,40.0,01:42.7,189.923,Webber,Finished,2012,European Grand Prix,Red Bull
1627,21455,8,8,59.0,01:19.8,206.361,Webber,Finished,2012,German Grand Prix,Red Bull
1628,21452,2,5,61.0,01:19.2,208.011,Vettel,Finished,2012,German Grand Prix,Red Bull
1629,21501,12,6,42.0,01:53.8,221.629,Webber,Finished,2012,Belgian Grand Prix,Red Bull
1630,21497,10,2,39.0,01:54.2,220.795,Vettel,Finished,2012,Belgian Grand Prix,Red Bull
1631,21554,7,11,53.0,01:53.7,160.585,Webber,Finished,2012,Singapore Grand Prix,Red Bull
1632,21544,3,1,50.0,01:52.1,162.865,Vettel,Finished,2012,Singapore Grand Prix,Red Bull
1633,21804,7,5,55.0,01:27.0,192.583,Webber,Finished,2013,Spanish Grand Prix,Red Bull
1634,21803,3,4,55.0,01:27.0,192.541,Vettel,Finished,2013,Spanish Grand Prix,Red Bull
1635,22021,1,2,44.0,01:34.6,221.015,Webber,Finished,2013,Japanese Grand Prix,Red Bull
1636,22020,2,1,39.0,01:35.3,219.322,Vettel,Finished,2013,Japanese Grand Prix,Red Bull
1637,22264,3,3,48.0,01:19.2,198.299,Vettel,Finished,2014,Canadian Grand Prix,Red Bull
1638,22262,6,1,68.0,01:18.6,199.638,Ricciardo,Finished,2014,Canadian Grand Prix,Red Bull
1639,22377,3,5,36.0,01:53.0,223.229,Vettel,Finished,2014,Belgian Grand Prix,Red Bull
1640,22373,5,1,44.0,01:53.0,223.187,Ricciardo,Finished,2014,Belgian Grand Prix,Red Bull
1641,22777,2,2,52.0,01:50.0,165.701,Ricciardo,Finished,2015,Singapore Grand Prix,Red Bull
1642,22781,4,6,36.0,01:51.1,164.109,Kvyat,Finished,2015,Singapore Grand Prix,Red Bull
1643,23247,4,1,44.0,01:37.4,204.771,Ricciardo,Finished,2016,Malaysian Grand Prix,Red Bull
1644,23248,3,2,44.0,01:37.4,204.925,Verstappen,Finished,2016,Malaysian Grand Prix,Red Bull
1645,877,7,3,45.0,01:17.8,154.452,Coulthard,Finished,2006,Monaco Grand Prix,Red Bull
1646,992,12,8,49.0,01:17.7,211.87,Klien,Finished,2006,German Grand Prix,Red Bull
1647,1142,5,4,40.0,01:26.7,220.219,Coulthard,Finished,2005,Australian Grand Prix,Red Bull
1648,1145,6,7,39.0,01:26.6,220.379,Klien,Finished,2005,Australian Grand Prix,Red Bull
1649,1361,11,7,18.0,01:16.2,216,Coulthard,Finished,2005,German Grand Prix,Red Bull
1650,1363,10,9,45.0,01:16.2,215.992,Klien,Finished,2005,German Grand Prix,Red Bull
1651,1401,12,7,58.0,01:26.4,222.372,Coulthard,Finished,2005,Turkish Grand Prix,Red Bull
1652,1402,10,8,58.0,01:26.4,222.483,Klien,Finished,2005,Turkish Grand Prix,Red Bull
1653,1480,6,6,18.0,01:33.0,224.731,Coulthard,Finished,2005,Japanese Grand Prix,Red Bull
1654,1483,4,9,49.0,01:33.5,223.587,Klien,Finished,2005,Japanese Grand Prix,Red Bull
1655,1503,7,9,54.0,01:34.6,207.47,Coulthard,Finished,2005,Chinese Grand Prix,Red Bull
1656,1499,14,5,43.0,01:33.7,209.369,Klien,Finished,2005,Chinese Grand Prix,Red Bull
1657,20419,1,1,62.0,01:24.8,197.552,Webber,Finished,2010,Spanish Grand Prix,Red Bull
1658,20421,2,3,56.0,01:25.2,196.745,Vettel,Finished,2010,Spanish Grand Prix,Red Bull
1659,20587,2,1,46.0,01:22.7,190.821,Webber,Finished,2010,Hungarian Grand Prix,Red Bull
1660,20589,1,3,70.0,01:22.4,191.491,Vettel,Finished,2010,Hungarian Grand Prix,Red Bull
1661,21208,2,1,71.0,01:15.3,205.942,Webber,Finished,2011,Brazilian Grand Prix,Red Bull
